es_code,es_name,bioregion
261A,Central California Coast,Central Coast
M262A,Central Valley Coast Ranges,Central Coast
322C,Colorado Desert,Southeastern Deserts
262A,Great Valley,Central Valley
M261A,Klamath Mountains,Klamath Mountains
341E,Lahontan Basin,Southeastern Deserts
M261G,Modoc Plateau,Northeastern Plateau
322A,Mojave Desert,Southeastern Deserts
341D,Mono,Sierra Nevada
263A,Northern California Coast,North Coast
M261B,Northern California Coast Ranges,North Coast
M261C,Northern California Interior Coast Ranges,North Coast
342B,Northwestern Basin and Range,Northeastern Plateau
M242A,Oregon and Washington Coast Ranges,North Coast
M261E,Sierra Nevada,Sierra Nevada
M261F,Sierra Nevada Foothills,Sierra Nevada
322B,Sonoran Desert,Southeastern Deserts
341F,Southeastern Great Basin,Southeastern Deserts
261B,Southern California Coast,South Coast
M262B,Southern California Mountains and Valleys,South Coast
M261D,Southern Cascades,Southern Cascades
M242B,Western Cascades,Southern Cascades
